,Unnamed: 0,class,tweet
82,82,Offensive,ur teacher tell u u homework bitch need go
83,83,Offensive,nigga eating hoe lol hell yea lol john paul nigga said john paul
84,84,Offensive,would yall lil ugly bald headed bitch stop making makeup amp weave
85,85,Offensive,leaf better win damn game go riot shit earlychristmas better start looting nig
86,86,Offensive,going back school suck dick hoe attend
87,87,Offensive,way fuck yo bitch year old
88,88,Offensive,come never bring food dont car retard
89,89,Offensive,richnow doesnt show hella tinder hoe im friend anymore chill brought like like prople
90,90,Offensive,bout cowboy shutup pussy
91,91,Offensive,lmaooooooooooo nigga ltbitch want like depressing shitfoh
92,92,Offensive,girl know spitting g shit amp going lbvsbitch plz
93,93,Offensive,let make couple tweet cuzzo page wont get twitter jaillmao bitch dont trick
94,94,Offensive,harlem shake excuse go full retard second
95,95,Offensive,amen miley dont need act like hoe bc shes emotionally damaged foh
96,96,Offensive,one loyal female wayyyyy better hoe idc
97,97,Offensive,pussy licking pussy meow meow stopwhitepeople
98,98,Offensive,check th man cowboysnation even faggot ny fan stand
99,99,Offensive,happen vixen ent bitch got ran threw side like foothill bitch
100,100,Offensive,im bitch okay nude pat wow
101,101,Offensive,fuck wrong bitch nobody know
102,102,Offensive,yall shut upp make bitch
103,103,Offensive,hate im pregnant type bitch
104,104,Offensive,got bitch dm dont ever readem top
105,105,Offensive,little stupid bitch dont fuck yoooooouuuu
106,106,Offensive,really asked dead as serious tho could say bitch wheet lol
107,107,Offensive,aw fag dont tweet aw lol
108,108,Offensive,didnt say anything tho kiss faggot
109,109,Offensive,could go fat as bitch lap
110,110,Offensive,missed call da yo po bitch twitter finna screamn freemoneymelle
111,111,Offensive,ya side bitch gotta know rule shitanybody ask cousin jersey thinkin bout moving lmmfao
112,112,Offensive,amo los pie fuck yeah
113,113,Offensive,hoe thinking meat wont slap as ainna bruh
114,114,Offensive,yall bitch wit edge talking
115,115,Offensive,yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitch bag n shit
116,116,Offensive,wanna sex mom fuck right pussy came damn got hacked like fuck
117,117,Offensive,kiss u eye open watch bitchlmfao
118,118,Offensive,woulda coulda shoulda as hoe
119,119,Offensive,happy bday bitch as nigga preciate bitch roll
120,120,Offensive,used send bitch
121,121,Offensive,ugly bitch like im wcw duh bitch aint nobody el
122,122,Offensive,nigga know hacky sack hoe nah throw look pass lmao
123,123,Offensive,glad im getting outta atlanta nothing bunch nigga amp outta jail amp dumb bitch mad kid fuckin em
124,124,Offensive,would wife hoe cuz wouldnt care cheating force relationship first place
125,125,Offensive,single isnt excuse hoe
126,126,Offensive,white boy power bitch black power bitch
127,127,Offensive,let get drunk get blowed spit shit spark blunts amp fuck hoe bro white dude chill
128,128,Offensive,bitch u around world back
129,129,Offensive,dont get dick sucked yo party bad bitch im fr gone set
130,130,Offensive,oomf soooo cute probably hoe lot
131,131,Offensive,every cartoon alway saving hoe lmao lmao damn captain saveahoe
132,132,Offensive,wish bitch like brother keezy ooooow bet
133,133,Offensive,dressed cat halloween basic pussy
134,134,Offensive,pornhub get gaming stream feature dumb bitch gtfo get katielt
135,135,Offensive,stop scared choke sex u bitch as nigga shell like say guy hit woman bed foh
136,136,Offensive,ha well iguess make hoe loyal bro theyll never loyal hoe nig
137,137,Offensive,oh man molly ho fuck ya seed fixed
138,138,Offensive,youre man refer every girl bitch
139,139,Offensive,lmfao cat started beating shit nigga finally got pussy nigga
140,140,Offensive,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
141,141,Offensive,naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne
142,142,Offensive,ol dirty foot as bitch funny
143,143,Offensive,thats get yellow flag amazing hell yeah niggy
144,144,Offensive,dont got time bitch actin iffy
145,145,Offensive,hoe aint loyal aint smfh amp wonder nobody decent want
146,146,Offensive,bruh stud keep thinking im soft hell ask ya girl many time screamed bitch oh okay stfu bye hoe
147,147,Offensive,dry pussy bitch always blame condom
148,148,Offensive,shut yo bitch as
149,149,Offensive,gucci mane jail dropping mixtapes every month hoe cant even text back
150,150,Offensive,love hoe money wats wrong nigga
151,151,Offensive,loyal bitch burbs without daddy issue like finding holographic mewtwo sounding like lol
152,152,Offensive,easy cum easy hoe thats fact
153,153,Offensive,charlie sheen real major fucking respect charlie sheen
154,154,Offensive,wish bae got hoe tho
155,155,Offensive,fuck twerking bitch cook
156,156,Offensive,bitch wtf
157,157,Offensive,shut zoe fight pussy zoe im good man good maam move along
158,158,Offensive,lmao fucking snake bitch em
159,159,Offensive,big booty hoe everywhere sheesh damn
160,160,Offensive,oregon choke every year get field trash as program rft
161,161,Offensive,def cowboy lol rt terrell owen best eagle amp cowboy ever dude cried like bitch tv romo
162,162,Offensive,could u bitch potent
163,163,Offensive,nah fam gotta cheat hoe depends female feel
164,164,Offensive,new twitter confusing shit go back south america bitch
165,165,Offensive,toto mean as vaginai think pussy cause toto santi like nasty pussy
166,166,Offensive,actually choose ugly bitch as must fat
167,167,Offensive,bitch couldnt kill vibe ya tried dis love miley
168,168,Offensive,im tired bitch saying look mean nigga big af wear tight shirt grim everybody
169,169,Offensive,stay beautiful bitch
170,170,Offensive,wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls
171,171,Offensive,money getting taller bitch getting blurry
172,172,Offensive,aint never seen bitch obsessed nigga im obsessed mine
173,173,Offensive,kobe stay talking trash let forget meant one smh
174,174,Offensive,people always asking im mixed bad asian bitch lol
175,175,Offensive,lowkey tired tired quiet go sleep hoe
176,176,Offensive,stop bringing weird nigger mention
177,177,Offensive,dont love hoe
178,178,Offensive,yo girl cant homeboy ol weak bitch as nigga
179,179,Offensive,think worst advice gave dont pussy speed lol
180,180,Offensive,quote tweet favorite animalpussy
181,181,Offensive,hate stripper tell theyre dancer hoe ballet dancer dont pop pussy beethoven stripper
182,182,Offensive,andrewbryant poff double vision beer poff double pussy smh
183,183,Offensive,bitch twerk computer ya ya damn
184,184,Offensive,prince art nobody takin bitch
185,185,Offensive,bitch dont care play role
186,186,Offensive,took find hiding lime tree dis bitch da wrong tree bro
187,187,Offensive,bitch cant cook know suck dick one
188,188,Offensive,fat hoe get chose lol
189,189,Offensive,hoesaintloyal well theyre hoesno one expects loyal
190,190,Offensive,ol bitch as
191,191,Offensive,bruh im tired nigga retweetin miley cyrus naked bitch aint type bad lmaooo
192,192,Offensive,tony romo mavs game dont mean still bitch lmao fuk cowgirl lol bitch fuck
193,193,Offensive,holy shit freddie highmore charlie chocolate factory roll floor laughing
194,194,Offensive,dont want sex gf feel like im using anonymous whata faggot
195,195,Offensive,one follower somebody bitch dont
196,196,Offensive,ya bitch always bitching clearly care annoying bitch
197,197,Offensive,catfish hoe thinkin slick nigga catching
198,198,Offensive,cant worry bitch aint worried bout real
199,199,Offensive,side hoe insecure nigga cant handle real one
200,200,Offensive,rt lmao bitch come scooting tent like fuck shit
201,201,Offensive,cousin said share hoe brother said sharing caring love brother
202,202,Offensive,im hungry ionn wanna spend money foodbroke hoe problem
203,203,Offensive,dese hoe lyin u nigga
204,204,Offensive,oh yeah fuck bitch
205,205,Offensive,guess also zero time mansplaining adios stfu pussy
206,206,Offensive,aint sharing bitch mine mine
207,207,Offensive,money impress simple broke bitch
208,208,Offensive,pisces never anybodys bitch dont let people control change rigghhht
209,209,Offensive,hoe crazy
210,210,Offensive,aint ever gonna slice bitch kevin hart
211,211,Offensive,oomf fuckin fine tho dam dont bitch
212,212,Offensive,wonder girl gave head boy drink magaluf twitter probly sends nude fag
213,213,Offensive,newsatquestions yeah bitch yeah bitch call maybe b steveo c later jesse pinkman
214,214,Offensive,hickies thigh right pussy gtgtgt right
215,215,Offensive,would still love im longer young beautiful ugly monkey as
216,216,Offensive,yall come frontbitch aint coming
217,217,Offensive,faggot bitch
218,218,Offensive,yea im ipad dont work friday let ball faggot work
219,219,Offensive,chrus still supahot tho walk teacher test drop test bitch fohead
220,220,Offensive,love eating pussy lol never get full lol eat shit forever lol ever
221,221,Offensive,slush hoe nasty anyway famthem hoe taste like med
222,222,Offensive,slush hoe nasty anyway fam
223,223,Offensive,bobby bitchby getting live fuck hell yea play hoe workout
224,224,Offensive,yo bitch gucci mane rt bitch stoner
225,225,Offensive,ride bitch handle bar
226,226,Offensive,aint hoe get traphoussseeeee
227,227,Offensive,harbor bitch party bus hoe lol
228,228,Offensive,pussy love
229,229,Offensive,ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo
230,230,Offensive,way fuck bitch lmfao kittycopter
231,231,Offensive,aww avis look cute together gotta get ike avi bitch
232,232,Offensive,simple dont hoedont worry exposed fight mewhy
233,233,Offensive,why bitch boosting size isnt exactly healthy tho
234,234,Offensive,bet bitch kim bye
235,235,Offensive,damn near gotta protect tweet stalker annoying got dope dick drive bitch loco
236,236,Offensive,im making marack girlfriend aye b pullin hoe like taught
237,237,Offensive,bruno fag boy love
238,238,Offensive,must bitch sike naw always beefing
239,239,Offensive,dont take advantage nice person hoe everyjuan
240,240,Offensive,happy birthday bitch nigga thanks pal
241,241,Offensive,sad knowing hoe wont fuck bc aint got stack wait till friday
242,242,Offensive,cinco shit harder fucc niggayee fucc wit rich homie cuz dat ya homeboy fucc nicca
243,243,Offensive,ewww said last sundayas last sunday read nigs
244,244,Offensive,punch real nigga face cause pussy nigga gonna punch right back strong mush shake
245,245,Offensive,pussy still fresh lt something stank girl say
246,246,Offensive,as slapping one greatest thing haha slapped girl as got mad aint get pussy week
247,247,Offensive,yeah texan much better fucking retard see youre mad
248,248,Offensive,nd wtf dark bitch blonde please several seat hoe looking like blackampmilds
249,249,Offensive,there lane bitch need stay left n get right fuck outta face
250,250,Offensive,hate boy deny bitch smh
251,251,Offensive,ya nigs still saying yall dont eat butt straight face
252,252,Offensive,im bos as bitch need sit corner
253,253,Offensive,he hoe cant
254,254,Offensive,paul thinkin bout gettin rental da weekend oooh shit bitch betta stay da street
255,255,Offensive,bitch hold nigga get locked nigga go college military different story
256,256,Offensive,friend hate ratchet hoe
257,257,Offensive,love fuck nigga hoe
258,258,Offensive,hot meat sexy fuck scally lad would love meet trainer
259,259,Offensive,sniff perved scally lad fuck yeah
260,260,Offensive,bitch love sosa
261,261,Offensive,legit watched second wtf prob cause retarded smh
262,262,Offensive,name cat idea mr pussy
263,263,Offensive,woof woof sexy thug boy scally
264,264,Offensive,u see damn phone ringing married bitch make demand havent called
265,265,Offensive,tevin favorite sophomore think he funny he really lmaoo he little hoe
266,266,Offensive,sex position u call fucking soul outta bitch
267,267,Offensive,dont got type bad bitch thing like iongotnotype
268,268,Offensive,god teeth gold chain white bitch cocaine
269,269,Offensive,hoe hoe shhhhh
270,270,Offensive,dc call roller chiraq call thots across america known hoe
271,271,Offensive,im gonna miss bitch bus driverno wont dont lie
272,272,Offensive,hate bitch try put friendzone bitch im tryin score put endzone soul
273,273,Offensive,yall gimped aint tht bitch huh lol
274,274,Offensive,oh god love victoria mitchell bitch love
275,275,Offensive,long distance shit wack knew bitch cheating uh oh
276,276,Offensive,he right bitch smh
277,277,Offensive,ban dat pussy life amp gotta pay millon dollar fine
278,278,Offensive,rose red violet blue nigger black know thats true
279,279,Offensive,nigga gon nigga nigga sound fuckin retarded
280,280,Offensive,im even shy stfu kikis mom hi angelique angelique smile dip cracker soup
281,281,Offensive,tim tebow got cut every team nfl already got hoe starkville smh
282,282,Offensive,karma bitch damn godprotectshisangels sip tea
283,283,Offensive,fuckin hot gym pussy fuck yeah
284,284,Offensive,call fireman cause turn hoe
285,285,Offensive,could never bby lil dick thts got abortion last bitch oh god
286,286,Offensive,watch woman try argue like dick actually fucked pussy hate bitch
287,287,Offensive,smoke weed public fuck cop man wanna dont run come retarded
288,288,Offensive,pussy sweet like watermelon thotermelon
289,289,Offensive,loud bitch annoy
290,290,Offensive,eventually every bitch turn hoe truuu
291,291,Offensive,swear oomf try talking tomorrow pussy
292,292,Offensive,bitch pretending tf crazy aint never lied
293,293,Offensive,k bye hoe um bye
294,294,Offensive,ima keep giving pussy as nigga ah reason hate
295,295,Offensive,side bitch sunday
296,296,Offensive,fact baldheaded bitch made shit lmao
297,297,Offensive,fuck wit u tweakin hoe shmurda
298,298,Offensive,ill break lil bitch neck wont even feel sorry savage
299,299,Offensive,fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies
300,300,Offensive,yall dumb as nigga pressed hoe yall weak fuck fuck weed hoe oreo
301,301,Offensive,turn yo bitch eaterrrrrrrrr
302,302,Offensive,dont trust dese hoe nikki told st stay fan screen shot asap finna come chiraq shoot sumn
303,303,Offensive,aye yall ima tryout bowling team frfr tryout passed tho there two retard
304,304,Offensive,u got u want bitch enjoy crazy party would love attend
305,305,Offensive,fact dude hoe say dont got hoe
306,306,Offensive,im rea start smacking bitch period bluffin best
307,307,Offensive,life bitch die thats get high cause neva know youre gonna go sister perfect
308,308,Offensive,one u drug youre still wrong hahahahahahah im bitch sometimes
309,309,Offensive,im feeling pretty fuckin ghetto smh
310,310,Offensive,true ride die bitch fuck hahahahah
311,311,Offensive,see bruno bitch as twitter wtf bruno see drake voice
312,312,Offensive,im cool faggot chill tf cool nigga
313,313,Offensive,im sure bitch frfr tf
314,314,Offensive,twitter source news broadcast fucking retard nbc abc cnn fox etc keeping quiet
315,315,Offensive,got couple bitch saying know ima let money talk im like wwyd
316,316,Offensive,grudge weirdosand bitch
317,317,Offensive,text back dont give fuck ill text another bitch damn someone hurt lol
318,318,Offensive,ummmmmm okay got hoe left right yah thang
319,319,Offensive,using ymxb find slope as
320,320,Offensive,hell yeah bro fuck yeah sexy scally lad hot gear
321,321,Offensive,helping mate love scally play fuck yeah
322,322,Offensive,lad lad fuck yeah love scally lad action hot trainer
323,323,Offensive,next year bitch gonna like gotta promise wont expose
324,324,Offensive,hot rt lick bitch fuck yeah eat trainer u dirty fucker
325,325,Offensive,yall think celebrity pussy different local yeah meghan good
326,326,Offensive,need sox fuck yeah love kinky scally lad w rank sox sneak
327,327,Offensive,dont ever expose female like thats childish bitch nigga shiiii
328,328,Offensive,yasss try new thing bestfriend bitch love
329,329,Offensive,thick raw fuck damn man pussy getting workout
330,330,Offensive,nothin life free bitch need write ya panty
331,331,Offensive,one bitch want burrito u catch potosino huh haha
332,332,Offensive,nigga whole hoe cuz couldnt said better
333,333,Offensive,hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitch
334,334,Offensive,yourenotmytype fade perpetually fresher thats real as bitch rite
335,335,Offensive,annoying bitch love judyanns pretty
336,336,Offensive,lmao bitch got huggies
337,337,Offensive,hi bitch bitch bye bitch
338,338,Offensive,look like bitch
339,339,Offensive,chase money hoe
340,340,Offensive,cant stand dont know want as nigga bitch
341,341,Offensive,im way love chavhot sexy scally fucker
342,342,Offensive,newly gay bitch dont kno shit work
343,343,Offensive,bitch dont want real job become stripper lol lol
344,344,Offensive,awww meat meat feelinsi ainn n feeling bitch
345,345,Offensive,want snake bite industrial piercin amp tattoodem hoe accessory dea
346,346,Offensive,hoe aint loyal
347,347,Offensive,yassssss ordered chinese bitch ate taco fat fuck
348,348,Offensive,made bitch lunch bitch love lunch
349,349,Offensive,brainer soon bitch get rich political power view change political whore
350,350,Offensive,pussy day keep devil away
351,351,Offensive,aint bitch mean
352,352,Offensive,bitch want baby dont want child
353,353,Offensive,bitch must lost
354,354,Offensive,baby like left side bitch cant cuz street side twitter said aint real
355,355,Offensive,batter wee cunt jewis co fucked ex emma isnt battering girl ive nailedive moved onstop pussy n urself
356,356,Offensive,bleed hoe alexa
357,357,Offensive,boolin bando wit bitch
358,358,Offensive,need bad bitch thats hotter might realist shit partynextdoor ever said thats feelin everyday
359,359,Offensive,way punch bitch
360,360,Offensive,caesar home rt much bitch look like let start ape shit
361,361,Offensive,dad say hi snapchat dad duce bitch
362,362,Offensive,believe hoe fact loyal disagree believe fact loyalest bunchthese hoe
363,363,Offensive,dont know ugly bitch dont know broke nigga
364,364,Offensive,dont make make fall live nigga like meee bird amp favorite song weeknd
365,365,Offensive,dont ever give pussy away keep tight alright
366,366,Offensive,dropped stack cause bitch im song called dope download mixtape
367,367,Offensive,dumb bitch dumb thing
368,368,Offensive,eat pussy like real nigga hungry
369,369,Offensive,eff let go cripple
370,370,Offensive,everything look better bitch next
371,371,Offensive,facto care hoe as look like
372,372,Offensive,every bad bitch nigga tired fucking
373,373,Offensive,foreign chick lie man bitch beautiful
374,374,Offensive,fresh nigga kno need clean bitch kno im working cuz wanna see team rich
375,375,Offensive,fuck make rule suck dragon ball bitch call goku
376,376,Offensive,get shit bitch fine bear
377,377,Offensive,get as back detroit ya fuckin wigger
378,378,Offensive,girl dated okay aint mad yo unless stabbed heart love hoe
379,379,Offensive,know twitter password bitch please
380,380,Offensive,seen show seen hoe wasnt hot would thick
381,381,Offensive,bitch hitting hoe
382,382,Offensive,married white woman lucky sumbitch uncle ruckus
383,383,Offensive,wanna nigga im trinna saving account omg imma funny as bitch man thats real shit
384,384,Offensive,great grandma hoeher grandma hoeher mom hoe shes hoe long line hoe grandpa carl everyone
385,385,Offensive,hey pussy still
386,386,Offensive,hotter bitch
387,387,Offensive,u talking hoe bout bro n em talking hoe bout bro n em
388,388,Offensive,crazy bitch hilarious
389,389,Offensive,know shoe dirty fuck whatever bitch dont call like negro one first thing look shoe dog
390,390,Offensive,call bitch
391,391,Offensive,cant handle liquor bitch cant handle meeedd chief sosa
392,392,Offensive,dont chase dude chase bitch edgar bautista
393,393,Offensive,dont love hoe baby forever
394,394,Offensive,dont even need picture tamar bitch beat every picture
395,395,Offensive,dont hoe
396,396,Offensive,fucking hate bitch much wanna smack face tongue kiss
397,397,Offensive,got bitch set like jada picketqueen latifah riding round niece bitch titi
398,398,Offensive,got sister told stop calling woman bitch
399,399,Offensive,guess night bitch die stewie nigga
400,400,Offensive,bitch bitch bitch eating halibut freshrhymes jerksquad slowstir
401,401,Offensive,ladylove shes married still wanna bang wont sex bitch troubadour probably
402,402,Offensive,heard looking candy man bitch
403,403,Offensive,hope dont get mad lady call bitch bitch bc dont know name individually katt williams
404,404,Offensive,got number im bitch boy
405,405,Offensive,know shit eatin grin either fucked girl dream sold car know youre faggot whatd sell
406,406,Offensive,older men cause theyre mature supposed fool u bitch
407,407,Offensive,prolly leave bitch cup hand yo hand hand
408,408,Offensive,said dont like taste like wolf pussy even know taste like
409,409,Offensive,taught eat pussy cut hair taught eat pussy hair name movie
410,410,Offensive,used dress like cop oh really yeahright mad pussy really yesill never forget
411,411,Offensive,went jail flock amp came home wit strike went jail bitch came home dike
412,412,Offensive,fuck u u stand u dizzy bitch two unique amp separate phrase overheard relative saying younger
413,413,Offensive,woke like thi bitch go back bed
414,414,Offensive,would rather call bitch sir manager
415,415,Offensive,ill beat pussy hard
416,416,Offensive,im funky as honkey shout tonight cabaret jttour
417,417,Offensive,im comparing kfc pussy
418,418,Offensive,im downloading new personality ordering new face bitch love goddamn axl rose yelling sex robot
419,419,Offensive,im feelin like malcolm middle bitch surround cant miss em
420,420,Offensive,im gonna piss dimple stop wasting prayer trash team lol
421,421,Offensive,im probably main bitch chocolate dipped cinnamon apple
422,422,Offensive,im sick shit man sit bitch as im fed bro rt geno threw yet another pick smh
423,423,Offensive,im sorry fucked yo bitch really dig nigga
424,424,Offensive,ibs irritable bitch syndrome
425,425,Offensive,love hide yo bitch youll keep shorty
426,426,Offensive,talk back aint getting pussy
427,427,Offensive,youre bad bitch put hand high every girl room start waving hand around
428,428,Offensive,imma tie bitch basement donkeyfuck as two week straight hahahahahahahahaha centmovie beforeiselfdestruct
429,429,Offensive,mind gotta dumb hoe anthem
430,430,Offensive,take true directioner accept larry know bitch fan like make boy cry thankyoupaulforconfirminglarry
431,431,Offensive,allegation u bedroom u see word naive amp blind bitch know ur husband cheated u ramona dumb
432,432,Offensive,never late tag bitch
433,433,Offensive,dyke hunter dyke dyke
434,434,Offensive,julia robert youre ho nottinghill
435,435,Offensive,lmfaoooooooooooooooooo pussy good mama dont like guess gotta gomy mama
436,436,Offensive,let nip ahoy spank maybe
437,437,Offensive,like correct im wrong doesnt pimpin involve smackin bitch money
438,438,Offensive,lmao rt pound cake look like pussy
439,439,Offensive,lmao drose adidas lighter phone shit retarded
440,440,Offensive,maybe want friend maybe shes stupid bitch never know make cum
441,441,Offensive,momma told tell mind yoooo damn motha fuckin business knowin bitch
442,442,Offensive,nip freeeeezingand thats okay theyre slicing bra
443,443,Offensive,twitter hacked im pussy admit said want act like never said
444,444,Offensive,nah girl aint gon able make tight since rus loss job back like damn bitch really
445,445,Offensive,new flame song yr lol bitch super run like
446,446,Offensive,nigga always yelling fuck bitch get money meanwhile theyre broke still want bitch
447,447,Offensive,nigga pressed pussy eeeeeen nothin
448,448,Offensive,bitch nan
449,449,Offensive,boat hoe please thanks mom
450,450,Offensive,top pregnant as sorry hoe aint never got money even water broke riptallt
451,451,Offensive,pistol whip dickau shoot yo bitch club sometimes freestyle freestyle im okay
452,452,Offensive,rt please thanks pierced pussy come across timeline
453,453,Offensive,remy machiavelli send shot ya belly bitch
454,454,Offensive,roberto one nasty hoe
455,455,Offensive,sorry jb fanreally justin come back top comment justin timberlake video million view son fucking bitch
456,456,Offensive,searching incredible story white man quest find ingredient necessary make caribbean jerked chicken redneck land
457,457,Offensive,selling soul material wish fast car bitch tupac smile remix
458,458,Offensive,shake bear aka two redneck sex dead bear
459,459,Offensive,shall compare thee summer day summer day bitch
460,460,Offensive,gotta shape pussy lip tho whole wheat organic pussy
461,461,Offensive,said wigga man richtake durag
462,462,Offensive,bitch anyway
463,463,Offensive,shes florida youve got sniff test swamp pussy
464,464,Offensive,slow fuck bitch know live classy young lady
465,465,Offensive,he good football playerbut still act like nig
466,466,Offensive,stop pussy son shove needle heart afterearth
467,467,Offensive,stop looking u go eat pussy yuppie fuck
468,468,Offensive,takin straight dirt finger pussy know put dick
469,469,Offensive,aint bro move thats hoe move
470,470,Offensive,girl plain looking borderline ugly amp chunky hey least shes got nice smile amp great personality
471,471,Offensive,hoe aint loyal
472,472,Offensive,hoe keep callin aint pickin
473,473,Offensive,faggot oriole petty fuckgot swept outta bitch
474,474,Offensive,ghetto as band get snuck
475,475,Offensive,fan waited bitch nigga hated old hoe dated look mama
476,476,Offensive,ghetto motherfucker missy elliott
477,477,Offensive,ratchet broad dont represent white as cant talk trash cause racist shit black
478,478,Offensive,trust noneeee bitch dont
479,479,Offensive,twitter twitter bitch twitter life
480,480,Offensive,u got k bitch niggaal haymon antonio tarver
481,481,Offensive,uhuh empty heart empty bottle yellow cab would like catch cuz yo latest ex made u mad
482,482,Offensive,used girlfriend got hoe lookin good girl fuckin low
483,483,Offensive,virgin pussy regular pussy oomf pussy
484,484,Offensive,whaaaaaat lmaooo thats luv u fat bitch cuz yall got big ole titty phat booty
485,485,Offensive,walked bitch like nigga made
486,486,Offensive,well bitch biology said
487,487,Offensive,gotta report spam rt lady rt head game better pussy
488,488,Offensive,im done hoe pas squad g
489,489,Offensive,u little bitch chris aint six bitch allisons mom
490,490,Offensive,would want play pussy dead snl
491,491,Offensive,would wanna green ranger he evil duh bitch
492,492,Offensive,would want pussy side burn thats good question hahahahaha
493,493,Offensive,shank bitch ceviche
494,494,Offensive,work get rough day hahaha hoe
495,495,Offensive,wow bitch yes thats already established anything else say
496,496,Offensive,yall forget brand new baby girl home bitch cooky burning
497,497,Offensive,yo bitch horn tryna shoot porn thats shirt worthy tony
498,498,Offensive,yo sublet pussy shitfahdsays
499,499,Offensive,yo foot smell like pus whut like flower bitch omg
500,500,Offensive,yo mama bitch rt one sentence ended relationship
501,501,Offensive,aint bitch favorite response long text
502,502,Offensive,yo boy pussy cat
503,503,Offensive,cunt
